Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,ITC,2021-10-28,236.0,238.25,233.45,236.5,236.35,236.5,11145,8401542000.0,173033600,2844800,235.35,0.41130000000000005,1.1500000000000057
2021-10-04,ITC,2021-10-28,236.7,239.0,236.2,237.2,237.45,237.2,6980,5307500000.0,174080000,1046400,236.6,0.4277,0.5999999999999943
2021-10-05,ITC,2021-10-28,237.25,238.25,235.5,235.9,235.75,235.9,5433,4110618000.0,176953600,2873600,234.7,0.5095000000000001,1.200000000000017
2021-10-06,ITC,2021-10-28,236.0,237.5,231.35,232.25,231.65,232.25,10750,8049800999.999999,181875200,4921600,231.25,0.5660000000000001,1.0
2021-10-07,ITC,2021-10-28,232.9,236.0,232.8,234.05,234.25,234.05,7223,5422196000.0,181520000,-355200,232.95,0.49729999999999996,1.1000000000000227
2021-10-08,ITC,2021-10-28,235.35,235.35,232.2,232.75,232.85,232.75,5749,4295083000.0,183129600,1609600,231.7,0.4464,1.0500000000000114
2021-10-11,ITC,2021-10-28,233.45,240.55,232.65,239.0,239.2,239.0,17034,12934767000.0,183651200,521600,238.05,0.46740000000000004,0.9499999999999886
2021-10-12,ITC,2021-10-28,239.0,243.65,238.55,242.05,242.15,242.05,21058,16260726000.0,182656000,-995200,241.3,0.3985,0.75
2021-10-13,ITC,2021-10-28,243.2,251.95,241.15,250.35,251.7,250.35,35094,27692594000.0,183827200,1171200,249.2,0.4594,1.1500000000000057
2021-10-14,ITC,2021-10-28,253.4,262.0,250.5,256.95,256.6,256.95,56097,46014987000.0,173478400,-10348800,256.55,0.41740000000000005,0.39999999999997726
2021-10-18,ITC,2021-10-28,257.3,266.0,257.3,263.35,262.4,263.35,33060,27690265000.000004,160435200,-13043200,262.55,0.5282,0.8000000000000114
2021-10-19,ITC,2021-10-28,260.95,263.2,245.8,246.65,246.7,246.65,37281,30039737000.0,158819200,-1616000,245.95,0.41600000000000004,0.700000000000017
2021-10-20,ITC,2021-10-28,246.15,249.4,243.25,247.7,247.75,247.7,26218,20694172000.0,161305600,2486400,246.6,0.4974,1.0999999999999943
2021-10-21,ITC,2021-10-28,248.5,248.6,243.8,245.75,245.55,245.75,11989,9418986000.0,155683200,-5622400,244.7,0.5196000000000001,1.0500000000000114
2021-10-22,ITC,2021-10-28,245.55,246.4,234.3,237.3,237.25,237.3,23805,18285636000.0,135040000,-20643200,236.6,0.4786,0.700000000000017
2021-10-25,ITC,2021-10-28,234.8,237.2,230.65,234.25,233.7,234.25,19986,15002720000.000002,111052800,-23987200,233.4,0.46090000000000003,0.8499999999999943
2021-10-26,ITC,2021-10-28,235.05,239.25,233.25,237.55,239.15,237.55,20003,15085988000.0,81068800,-29984000,236.7,0.45880000000000004,0.8500000000000227
2021-10-27,ITC,2021-10-28,240.25,241.3,236.25,238.65,239.05,238.65,20680,15837794000.0,49491200,-31577600,238.45,0.3073,0.20000000000001705
