Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,LT,2021-06-24,1473.4,1497.4,1471.85,1480.1,1479.0,1480.1,6373,5433377000.0,12681625,-90275,1474.65,0.3406,5.449999999999818
2021-06-02,LT,2021-06-24,1472.95,1482.55,1463.3,1478.65,1480.0,1478.65,5430,4600242000.0,12574100,-107525,1471.05,0.6061,7.600000000000136
2021-06-03,LT,2021-06-24,1484.6,1523.25,1480.4,1518.8,1520.0,1518.8,8396,7254842000.0,12955900,381800,1510.85,0.5484,7.9500000000000455
2021-06-04,LT,2021-06-24,1520.25,1551.85,1520.25,1540.6,1540.7,1540.6,11504,10180550000.0,12974875,18975,1537.55,0.5093,3.0499999999999545
2021-06-07,LT,2021-06-24,1545.6,1573.3,1545.15,1560.75,1560.05,1560.75,6277,5639693000.0,12959925,-14950,1557.8,0.5575,2.9500000000000455
2021-06-08,LT,2021-06-24,1561.4,1588.15,1554.1,1556.8,1556.2,1556.8,9378,8471913000.0,13124950,165025,1549.15,0.4993,7.649999999999864
2021-06-09,LT,2021-06-24,1559.6,1559.6,1520.5,1526.75,1527.8,1526.75,7755,6850166000.0,13253175,128225,1519.3,0.5193,7.4500000000000455
2021-06-10,LT,2021-06-24,1527.85,1538.1,1518.2,1522.35,1521.55,1522.35,4856,4260868000.0,13196250,-56925,1519.7,0.5112,2.6499999999998636
2021-06-11,LT,2021-06-24,1523.35,1529.75,1505.45,1510.15,1512.55,1510.15,4704,4099885000.0,13169225,-27025,1503.45,0.4823,6.7000000000000455
2021-06-14,LT,2021-06-24,1505.7,1526.15,1483.55,1521.85,1521.0,1521.85,6598,5724492000.0,13531475,362825,1515.75,0.44229999999999997,6.099999999999909
2021-06-15,LT,2021-06-24,1523.5,1526.6,1509.05,1512.4,1510.8,1512.4,5086,4444147000.0,13661425,129950,1510.8,0.5543,1.6000000000001364
2021-06-16,LT,2021-06-24,1505.8,1517.75,1493.0,1495.85,1494.9,1495.85,4645,4016333999.9999995,13308375,-353050,1490.9,0.5196000000000001,4.949999999999818
2021-06-17,LT,2021-06-24,1483.55,1501.05,1483.25,1487.6,1484.55,1487.6,5096,4372585000.0,12792600,-515775,1487.55,0.4927,0.049999999999954525
2021-06-18,LT,2021-06-24,1491.45,1492.75,1460.55,1477.75,1475.95,1477.75,6263,5312717000.0,12160100,-632500,1476.0,0.6091,1.75
2021-06-21,LT,2021-06-24,1457.8,1472.35,1443.55,1469.85,1470.0,1469.85,6336,5319741000.0,11233775,-926325,1467.05,0.5018,2.7999999999999545
2021-06-22,LT,2021-06-24,1474.45,1503.0,1469.4,1497.45,1498.5,1497.45,13070,11232259000.0,7683150,-3550625,1499.2,0.6497,-1.75
2021-06-23,LT,2021-06-24,1506.2,1508.05,1476.3,1480.1,1480.6,1480.1,12600,10818253000.0,3747850,-3935300,1479.25,0.5275,0.849999999999909
